Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Elijah Moore,MoorEl00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,10,17%,
Braxton Berrios,BerrBr00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,30,51%,
Kenny Pickett,PickKe00,QB,8,PIT,25,38,191,0,1,6,38,25,66.9,7,37,0,11,0,0,0,0,0,2,1,76,100%,
Najee Harris,HarrNa00,RB,8,PIT,1,1,4,0,0,0,0,4,83.3,8,32,0,18,6,6,26,0,9,0,0,54,71%,
Chase Claypool,ClayCh01,WR,8,PIT,1,1,1,1,0,0,0,1,118.7,0,0,0,0,6,4,45,0,25,0,0,61,80%,
Jaylen Warren,WarrJa01,RB,8,PIT,0,0,0,0,0,0,0,0,,6,50,0,19,3,3,25,0,15,0,0,22,29%,
Steven Sims,SimsSt00,WR,8,PIT,0,0,0,0,0,0,0,0,,2,21,0,11,3,2,-1,0,2,0,0,11,14%,
Pat Freiermuth,FreiPa00,TE,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,57,0,21,0,0,47,62%,
Diontae Johnson,JohnDi01,WR,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,35,0,14,0,0,72,95%,
Derek Watt,WattDe00,FB,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,1,5,0,0,3,4%,
Zach Gentry,GentZa00,TE,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,29,38%,
George Pickens,PickGe00,WR,8,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,65,86%,
Jalen Hurts,HurtJa00,QB,8,PHI,19,28,285,4,0,3,18,43,140.6,2,10,0,8,0,0,0,0,0,0,0,46,81%,
Gardner Minshew II,MinsGa00,QB,8,PHI,1,2,23,0,0,0,0,23,91.7,1,-1,0,-1,0,0,0,0,0,0,0,11,19%,
Miles Sanders,SandMi01,RB,8,PHI,0,0,0,0,0,0,0,0,,9,78,1,21,0,0,0,0,0,0,0,29,51%,
Boston Scott,ScotBo02,RB,8,PHI,0,0,0,0,0,0,0,0,,7,21,0,8,0,0,0,0,0,0,0,13,23%,
Kenneth Gainwell,GainKe00,RB,8,PHI,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,8,0,8,0,0,14,25%,
A.J. Brown,BrowAJ00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,156,3,43,0,0,39,68%,
Dallas Goedert,GoedDa00,TE,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,64,0,17,0,0,42,74%,
Zach Pascal,PascZa00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,57,1,34,0,0,23,40%,
DeVonta Smith,SmitDe07,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,23,0,14,0,0,42,74%,
Jack Stoll,StolJa00,TE,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,30,53%,
Quez Watkins,WatkQu00,WR,8,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,37,65%,
Malik Willis,WillMa12,QB,8,TEN,6,10,55,0,1,3,15,16,35.4,5,12,0,6,0,0,0,0,0,0,0,58,100%,
Derrick Henry ,HenrDe00,RB,8,TEN,0,0,0,0,0,0,0,0,,32,219,2,41,1,1,9,0,9,0,0,43,74%,
Dontrell Hilliard,HillDo00,RB,8,TEN,0,0,0,0,0,0,0,0,,8,83,0,30,1,1,12,0,12,0,0,16,28%,
Robert Woods,WoodRo02,WR,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,16,1,1,38,66%,
Austin Hooper,HoopAu00,TE,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,27,47%,
Chigoziem Okonkwo,OkonCh00,TE,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,24,41%,
Cody Hollister,HollCo00,WR,8,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,32,55%,
Davis Mills,MillDa02,QB,8,HOU,17,29,152,1,1,3,34,44,69.9,3,8,0,6,0,0,0,0,0,0,0,54,100%,
Rex Burkhead,BurkRe00,RB,8,HOU,0,1,0,0,0,0,0,0,39.6,0,0,0,0,1,1,2,0,2,0,0,10,19%,
Dameon Pierce,PierDa01,RB,8,HOU,0,0,0,0,0,0,0,0,,15,35,0,16,5,3,16,1,7,0,0,42,78%,
