Player,PID,Pos,Week,Tm,Cmp,Att,PassYds,PassTD,Int,Sacked,YardsLostSack,PassLng,Rate,Att,RushYards,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,Snap,Snap%,PprFP
Dalvin Cook,CookDa01,RB,8,MIN,0,0,0,0,0,0,0,0,,20,111,1,30,6,5,30,0,11,0,0,54,76%,28.1
Alexander Mattison,MattAl01,RB,8,MIN,0,0,0,0,0,0,0,0,,5,40,1,15,0,0,0,0,0,0,0,17,24%,10
Justin Jefferson,JeffJu00,WR,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,98,0,29,0,0,70,99%,15.8
Adam Thielen,ThieAd00,WR,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,67,0,18,0,0,62,87%,12.7
Irv Smith Jr.,SmitIr01,TE,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,11,0,0,34,48%,6.8
K.J. Osborn,OsboKJ00,WR,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,1,5,0,0,57,80%,8.8
Johnny Mundt,MundJo00,TE,8,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,43,61%,7.1
Derek Carr,CarrDe02,QB,8,LVR,15,26,101,0,1,3,20,14,50.3,1,-1,0,-1,0,0,0,0,0,0,0,44,76%,2.94
Jarrett Stidham,StidJa00,QB,8,LVR,8,13,72,0,0,1,8,18,76.4,0,0,0,0,0,0,0,0,0,0,0,14,24%,2.88
Josh Jacobs,JacoJo01,RB,8,LVR,0,0,0,0,0,0,0,0,,10,43,0,16,4,2,11,0,11,0,0,32,55%,7.4
Mack Hollins,HollMa00,WR,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,64,0,14,0,0,53,91%,13.4
Foster Moreau,MoreFo00,TE,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,31,0,12,0,0,58,100%,9.1
Keelan Cole,ColeKe00,WR,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,30,0,18,0,0,18,31%,5
Ameer Abdullah,AbduAm00,RB,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,28,0,10,0,0,20,34%,6.8
Hunter Renfrow,RenfHu00,WR,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,46,79%,1.6
Jesper Horsted,HorsJe00,TE,8,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,2,3%,0
Davante Adams,AdamDa01,WR,8,LVR,0,0,0,0,0,0,0,0,,1,-1,0,-1,5,1,3,0,3,0,0,42,72%,1.2
Andy Dalton,DaltAn00,QB,8,NOR,22,30,229,2,0,0,0,36,117.2,0,0,0,0,0,0,0,0,0,0,0,54,84%,17.16
Taysom Hill,HillTa00,TE,8,NOR,1,1,2,0,0,0,0,2,79.2,10,61,0,11,2,1,11,0,11,0,0,23,36%,8.28
Alvin Kamara,KamaAl00,RB,8,NOR,0,0,0,0,0,0,0,0,,18,62,1,9,10,9,96,2,36,0,0,46,72%,42.8
Dwayne Washington,WashDw00,RB,8,NOR,0,0,0,0,0,0,0,0,,4,13,0,4,0,0,0,0,0,0,0,13,20%,1.3
Chris Olave,OlavCh00,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,52,0,14,0,0,37,58%,10.2
Rashid Shaheed,ShahRa00,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,0,30,0,0,15,23%,6.8
Juwan Johnson,JohnJu02,TE,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,8,0,0,47,73%,3.4
Marquez Callaway,CallMa01,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,21,33%,2
Nick Vannett,VannNi00,TE,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,37,58%,1.8
Mark Ingram,IngrMa01,RB,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,5,8%,1.2
Tre'Quan Smith,SmitTr03,WR,8,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,38,59%,0
Mac Jones,JoneMa05,QB,8,NWE,24,35,194,1,1,6,33,22,79.9,7,19,0,12,0,0,0,0,0,1,0,78,100%,12.66
Rhamondre Stevenson,StevRh00,RB,8,NWE,0,0,0,0,0,0,0,0,,16,71,0,35,7,7,72,0,22,0,0,49,63%,21.3
Damien Harris,HarrDa06,RB,8,NWE,0,0,0,0,0,0,0,0,,11,37,0,11,2,2,15,0,8,0,0,32,41%,7.2
Jakobi Meyers,MeyeJa01,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,60,1,16,0,0,63,81%,21
Hunter Henry,HenrHu00,TE,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0,50,64%,3.2
Tyquan Thornton,ThorTy00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0,61,78%,2.3
Jonnu Smith,SmitJo01,TE,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,10,0,7,0,0,50,64%,4
Nelson Agholor,AghoNe00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,19,24%,1.2
Kendrick Bourne,BourKe00,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,54,69%,0
DeVante Parker,ParkDe01,WR,8,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,1%,0
Zach Wilson,WilsZa00,QB,8,NYJ,20,41,355,2,3,2,19,63,64.6,1,2,0,2,0,0,0,0,0,0,0,59,100%,22.4
Michael Carter,CartMi03,RB,8,NYJ,0,0,0,0,0,0,0,0,,7,26,0,11,7,4,35,0,17,0,0,33,56%,10.1
James Robinson,RobiJa00,RB,8,NYJ,0,0,0,0,0,0,0,0,,5,17,0,7,1,0,0,0,0,0,0,13,22%,1.7
Ty Johnson,JohnTy02,RB,8,NYJ,0,0,0,0,0,0,0,0,,2,6,0,4,2,0,0,0,0,0,0,19,32%,0.6
Garrett Wilson,WilsGa00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,115,0,54,0,0,52,88%,20.5
Tyler Conklin,ConkTy00,TE,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,79,2,27,0,0,44,75%,25.9
Denzel Mims,MimsDe00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,76,0,63,0,0,44,75%,9.6
C.J. Uzomah,UzomC.00,TE,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,27,0,27,0,0,37,63%,3.7
Jeff Smith,SmitJe03,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0,13,22%,3.3
Elijah Moore,MoorEl00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,10,17%,0
Braxton Berrios,BerrBr00,WR,8,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,30,51%,0
