Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Romeo Doubs,5,5,3,29,86,0,Romeo Doubs,6,9,4,21,96,0,Romeo Doubs,7,4,0,0,89,0,8.0,5.0,67.0,87.0,0.0
Christian Watson,2,3,3,9,32,0,Christian Watson,4,3,1,8,25,0,Christian Watson,5,1,1,1,29,0,2.0,2.0,22.0,39.0,0.0
Sammy Watkins,1,3,3,18,67,0,Sammy Watkins,2,4,3,93,65,0,Sammy Watkins,7,4,2,36,52,0,4.0,3.0,38.0,71.0,0.0
Randall Cobb,4,4,3,42,34,0,Randall Cobb,5,13,7,99,63,0,Randall Cobb,6,1,1,8,36,0,5.0,4.0,55.0,57.0,0.0
Justin Jefferson,4,13,10,147,94,0,Justin Jefferson,5,13,12,154,100,0,Justin Jefferson,6,8,6,107,94,0,10.0,7.0,80.0,98.0,1.0
Adam Thielen,4,9,8,72,97,0,Adam Thielen,5,7,4,27,96,0,Adam Thielen,6,8,4,36,87,1,9.0,6.0,65.0,94.0,0.0
K.J. Osborn,4,2,1,6,85,0,K.J. Osborn,5,5,5,41,82,0,K.J. Osborn,6,5,3,18,60,0,7.0,4.0,56.0,81.0,0.0
Richie James,4,3,1,9,32,0,Richie James,5,2,2,16,54,0,Richie James,6,2,2,18,34,0,4.0,3.0,31.0,51.0,0.0
Sterling Shepard,1,4,2,71,72,1,Sterling Shepard,2,10,6,34,88,0,Sterling Shepard,3,10,5,49,81,0,8.0,5.0,67.0,80.0,0.0
Kenny Golladay,1,2,2,22,77,0,Kenny Golladay,3,3,0,0,33,0,Kenny Golladay,4,1,0,0,42,0,3.0,2.0,31.0,56.0,-0.0
Treylon Burks,2,6,4,47,45,0,Treylon Burks,3,2,1,13,69,0,Treylon Burks,4,3,2,14,65,0,5.0,3.0,36.0,64.0,0.0
Nick Westbrook-Ikhine,3,3,3,40,57,0,Nick Westbrook-Ikhine,5,3,2,72,92,0,Nick Westbrook-Ikhine,7,2,0,0,76,0,5.0,4.0,43.0,80.0,0.0
Robert Woods,4,4,4,30,76,1,Robert Woods,5,8,4,37,84,0,Robert Woods,7,4,3,26,75,0,7.0,5.0,58.0,82.0,0.0
Davante Adams,4,13,9,101,95,0,Davante Adams,5,7,3,124,100,2,Davante Adams,7,9,8,95,96,0,7.0,4.0,49.0,99.0,0.0
Hunter Renfrow,2,10,7,59,69,0,Hunter Renfrow,5,4,4,25,55,0,Hunter Renfrow,7,3,3,55,57,0,6.0,4.0,43.0,66.0,0.0
Mack Hollins,4,5,3,33,96,0,Mack Hollins,5,4,0,0,95,0,Mack Hollins,7,3,2,44,100,1,7.0,4.0,55.0,91.0,0.0
Josh Palmer,4,1,1,25,56,0,Josh Palmer,5,6,3,24,73,0,Josh Palmer,6,12,9,57,87,0,5.0,4.0,49.0,67.0,0.0
DeAndre Carter,5,2,2,9,59,0,DeAndre Carter,6,5,3,17,73,0,DeAndre Carter,7,7,3,37,94,0,6.0,4.0,47.0,69.0,0.0
Mike Williams,5,13,10,134,85,0,Mike Williams,6,6,2,17,94,0,Mike Williams,7,9,7,86,76,1,8.0,5.0,59.0,90.0,0.0
Mike Evans,5,8,4,81,85,0,Mike Evans,6,4,4,42,96,0,Mike Evans,7,15,9,96,88,0,8.0,5.0,58.0,89.0,0.0
Chris Godwin,5,6,6,61,52,0,Chris Godwin,6,12,6,95,89,0,Chris Godwin,7,13,7,43,94,0,7.0,5.0,62.0,77.0,0.0
